Adresse,lat,lon,precision,correspondance
"67 Ha, Antananarivo, Analamanga, Madagascar",-18.9050014,47.5092176,exacte,"67 ha, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
A,-15.3436198,49.948035,incertaine,"Madagascar, FIZONY, District de Maroantsetra, Ambatosoa, Province de Tamatave, Madagasikara / Madagascar"
Adresse non renseignée,,,introuvable,
"Alakamisy Fenoarivo, Antananarivo, Analamanga, Madagascar",-18.9330276,47.4373709,exacte,"Ziona FJTSa7 Fenoarivo Alakamisy, Ambohimandroso Atsinanana, Fenoarivo, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Alarobia, Antananarivo, Analamanga, Madagascar",-18.8713408,47.5212985,exacte,"Alarobia, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Alasora, Antananarivo, Analamanga, Madagascar",-18.9553235,47.5674821,exacte,"Alasora, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Ambalafary Gare,,,introuvable,
"Ambalavao, Haute Matsiatra, Madagascar",-21.8316233,46.9384737,exacte,"Ambalavao, District d'Ambalavao, Matsiatra Ambony, Province de Fianarantsoa, 303, Madagasikara / Madagascar"
"Ambanidia, Antananarivo, Analamanga, Madagascar",-18.9188124,47.5391554,exacte,"Ambanidia, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ambanilalana, Antananarivo, Analamanga, Madagascar",-18.916081,47.4834627,exacte,"Ambanilalana, Làlana Digy, Ampasika, Anosizato Andrefana, Anosipatrana, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ambanilalana, Itaosy, Antananarivo, Analamanga, Madagascar",-18.9181185,47.4708415,approchée,"Itaosy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ambanja, Diana, Madagascar",-13.6814515,48.4528406,exacte,"Ambanja, Diana, Province d'Antsiranana, Madagasikara / Madagascar"
"Ambano, Antsirabe, Vakinankaratra, Madagascar",-19.796874,47.047827,exacte,"Ambano, Antsirabe II, Vakinankaratra, Province d’Antananarivo, 110, Madagasikara / Madagascar"
Ambaranjana,-18.9115852,47.540576,incertaine,"Ambaranjana, Avaratr'Antanimora, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
Ambatatolampy,,,introuvable,
"Ambato-Boeny, Boeny, Madagascar",-16.4716451,46.7148208,exacte,"Ambato Boeny, Ambato Boeni, Boeny, Province de Mahajanga, Madagasikara / Madagascar"
"Ambatobe, Antananarivo, Analamanga, Madagascar",-18.8793284,47.5581863,exacte,"Ambatobe, Làlana Ambatobe, Ankadindramamy, Ambatobe, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
Ambatolampikely,-18.8629035,47.6712888,incertaine,"Ambatolampikely, Ambanitsena, District de Manjakandriana, Analamanga, Province d’Antananarivo, 116, Madagasikara / Madagascar"
"Ambatolampy, Vakinankaratra, Madagascar",-19.3858258,47.4271559,exacte,"Ambatolampy, Vakinankaratra, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambatomainty, Melaky, Madagascar",-17.6963929,45.6655134,exacte,"Ambatomainty, Melaky, Province de Mahajanga, Madagasikara / Madagascar"
"Ambatomaro, Ampanotokana, Analamanga, Madagascar",-18.9093719,47.5646763,exacte,"Campus universitaire d'Ambatomaro, Ambatomaro, Antananarivo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambatomaro, Antananarivo, Analamanga, Madagascar",-18.9007445,47.5630467,exacte,"Ambatomaro, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ambatondrazaka, Alaotra-Mangoro, Madagascar",-17.8237084,48.4267188,exacte,"Ambatondrazaka, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
"Ambatoroka, Antananarivo, Analamanga, Madagascar",-18.9238832,47.5418577,exacte,"Ambatoroka, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Ambatovinaky, Antananarivo, Analamanga, Madagascar",-18.9149588,47.5295168,exacte,"Ambatovinaky, Andohalo, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ambavahaditokana, Itaosy, Antananarivo, Analamanga, Madagascar",-18.9181185,47.4708415,approchée,"Itaosy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ambilobe, Diana, Madagascar",-13.194439,49.049956,exacte,"Ambilobe, Diana, Province d'Antsiranana, Madagasikara / Madagascar"
"Amboasary Sud, Anosy, Madagascar",-25.0359198,46.3853238,exacte,"Amboasary, Amboasary-Atsimo, Anosy, Province de Toliara, 603, Madagasikara / Madagascar"
Amboavahy,-18.8574147,47.4826431,incertaine,"Amboavahy, Antananarivo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Ambodihady, Antananarivo, Analamanga, Madagascar",-18.8737435,47.4868757,exacte,"Ambodihady, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
Ambodiriana,-20.7969778,47.7981245,incertaine,"Ambodiriana, Maroharatra, District d'Ifanadiana, Vatovavy, Province de Fianarantsoa, Madagasikara / Madagascar"
"Amboditsiry, Antananarivo, Analamanga, Madagascar",-18.8844741,47.5371424,exacte,"Amboditsiry, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
Ambodivoarabe,,,introuvable,
"Ambohibao, Antananarivo, Analamanga, Madagascar",-19.0170498,47.5368252,exacte,"Ambohibao, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Ambohibarikely,-18.928559,47.5169492,incertaine,"Ambohibarikely, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Ambohibe Ikafy,,,introuvable,
"Ambohidrabiby, Antananarivo, Analamanga, Madagascar",-18.7706643,47.6099919,exacte,"Ambohidrabiby, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
