code_zone,nom_affiche,niveau,code_parent,nom_parent
MG11,Analamanga,Région,,
MG12,Vakinankaratra,Région,,
MG13,Itasy,Région,,
MG14,Bongolava,Région,,
MG21,Haute Matsiatra,Région,,
MG22,Amoron'i Mania,Région,,
MG23,Vatovavy Fitovinany,Région,,
MG24,Ihorombe,Région,,
MG25,Atsimo Atsinanana,Région,,
MG31,Atsinanana,Région,,
MG32,Analanjirofo,Région,,
MG33,Alaotra Mangoro,Région,,
MG41,Boeny,Région,,
MG42,Sofia,Région,,
MG43,Betsiboka,Région,,
MG44,Melaky,Région,,
MG51,Atsimo Andrefana,Région,,
MG52,Androy,Région,,
MG53,Anosy,Région,,
MG54,Menabe,Région,,
MG71,Diana,Région,,
MG72,Sava,Région,,
MG11101001A,1er Arrondissement,District,MG11,Analamanga
MG11101002A,2e Arrondissement,District,MG11,Analamanga
MG11101003A,3e Arrondissement,District,MG11,Analamanga
MG11101004A,4e Arrondissement,District,MG11,Analamanga
MG11101005A,5e Arrondissement,District,MG11,Analamanga
MG11101006A,6e Arrondissement,District,MG11,Analamanga
MG11102,Antananarivo Avaradrano,District,MG11,Analamanga
MG11103,Ambohidratrimo,District,MG11,Analamanga
MG11104,Ankazobe,District,MG11,Analamanga
MG11106,Manjakandriana,District,MG11,Analamanga
MG11107,Anjozorobe,District,MG11,Analamanga
MG11115,Andramasina,District,MG11,Analamanga
MG11117,Antananarivo Atsimondrano,District,MG11,Analamanga
MG12108,Antsirabe I,District,MG12,Vakinankaratra
MG12109,Betafo,District,MG12,Vakinankaratra
MG12110,Ambatolampy,District,MG12,Vakinankaratra
MG12114,Antanifotsy,District,MG12,Vakinankaratra
MG12116,Faratsiho,District,MG12,Vakinankaratra
MG12118,Antsirabe II,District,MG12,Vakinankaratra
MG12120,Mandoto,District,MG12,Vakinankaratra
MG13105,Arivonimamo,District,MG13,Itasy
MG13112,Miarinarivo,District,MG13,Itasy
MG13113,Soavinandriana,District,MG13,Itasy
MG14111,Tsiroanomandidy,District,MG14,Bongolava
MG14119,Fenoarivobe,District,MG14,Bongolava
MG21201,Fianarantsoa I,District,MG21,Haute Matsiatra
MG21205,Ambalavao,District,MG21,Haute Matsiatra
MG21208,Ambohimahasoa,District,MG21,Haute Matsiatra
MG21219,Ikalamavony,District,MG21,Haute Matsiatra
MG21220,Lalangina,District,MG21,Haute Matsiatra
MG21224,Vohibato,District,MG21,Haute Matsiatra
MG21225,Isandra,District,MG21,Haute Matsiatra
MG22202,Ambatofinandrahana,District,MG22,Amoron'i Mania
MG22203,Ambositra,District,MG22,Amoron'i Mania
MG22204,Fandriana,District,MG22,Amoron'i Mania
MG22223,Manandriana,District,MG22,Amoron'i Mania
MG23206,Ifanadiana,District,MG23,Vatovavy Fitovinany
MG23207,Nosy-Varika,District,MG23,Vatovavy Fitovinany
MG23209,Mananjary,District,MG23,Vatovavy Fitovinany
MG23210,Manakara Atsimo,District,MG23,Vatovavy Fitovinany
MG23211,Ikongo,District,MG23,Vatovavy Fitovinany
MG23212,Vohipeno,District,MG23,Vatovavy Fitovinany
MG24216,Ihosy,District,MG24,Ihorombe
MG24218,Ivohibe,District,MG24,Ihorombe
MG24221,Iakora,District,MG24,Ihorombe
MG25213,Farafangana,District,MG25,Atsimo Atsinanana
MG25214,Vangaindrano,District,MG25,Atsimo Atsinanana
MG25215,Midongy-Atsimo,District,MG25,Atsimo Atsinanana
MG25217,Vondrozo,District,MG25,Atsimo Atsinanana
MG25222,Befotaka,District,MG25,Atsimo Atsinanana
MG31301,Toamasina I,District,MG31,Atsinanana
MG31306,Brickaville,District,MG31,Atsinanana
MG31307,Vatomandry,District,MG31,Atsinanana
MG31308,Mahanoro,District,MG31,Atsinanana
MG31309,Marolambo,District,MG31,Atsinanana
MG31310,Toamasina II,District,MG31,Atsinanana
MG31311,Antanambao Manampontsy,District,MG31,Atsinanana
MG32302,Sainte Marie,District,MG32,Analanjirofo
MG32303,Maroantsetra,District,MG32,Analanjirofo
MG32304,Mananara-Avaratra,District,MG32,Analanjirofo
MG32305,Fenerive Est,District,MG32,Analanjirofo
MG32315,Vavatenina,District,MG32,Analanjirofo
MG32318,Soanierana Ivongo,District,MG32,Analanjirofo
MG33312,Amparafaravola,District,MG33,Alaotra Mangoro
MG33313,Ambatondrazaka,District,MG33,Alaotra Mangoro
MG33314,Moramanga,District,MG33,Alaotra Mangoro
MG33316,Andilamena,District,MG33,Alaotra Mangoro
MG33317,Anosibe-An'ala,District,MG33,Alaotra Mangoro
MG41401,Mahajanga I,District,MG41,Boeny
MG41403,Soalala,District,MG41,Boeny
MG41405,Ambato Boeni,District,MG41,Boeny
MG41406,Marovoay,District,MG41,Boeny
MG41407,Mitsinjo,District,MG41,Boeny
MG41415,Mahajanga II,District,MG41,Boeny
MG42409,Port-Berge (Boriziny-Vaovao),District,MG42,Sofia
MG42410,Mandritsara,District,MG42,Sofia
MG42411,Analalava,District,MG42,Sofia
MG42412,Befandriana Nord,District,MG42,Sofia
MG42413,Antsohihy,District,MG42,Sofia
MG42414,Bealanana,District,MG42,Sofia
MG42423,Mampikony,District,MG42,Sofia
MG43404,Maevatanana,District,MG43,Betsiboka
MG43408,Tsaratanana,District,MG43,Betsiboka
MG43416,Kandreho,District,MG43,Betsiboka
MG44402,Besalampy,District,MG44,Melaky
MG44417,Ambatomainty,District,MG44,Melaky
MG44420,Antsalova,District,MG44,Melaky
MG44421,Maintirano,District,MG44,Melaky
MG44422,Morafenobe,District,MG44,Melaky
MG51501,Toliary-I,District,MG51,Atsimo Andrefana
MG51503,Beroroha,District,MG51,Atsimo Andrefana
MG51504,Morombe,District,MG51,Atsimo Andrefana
MG51505,Ankazoabo,District,MG51,Atsimo Andrefana
MG51506,Betioky Atsimo,District,MG51,Atsimo Andrefana
MG51507,Ampanihy Ouest,District,MG51,Atsimo Andrefana
MG51512,Sakaraha,District,MG51,Atsimo Andrefana
MG51520,Toliary-II,District,MG51,Atsimo Andrefana
MG51521,Benenitra,District,MG51,Atsimo Andrefana
MG52513,Beloha,District,MG52,Androy
MG52514,Tsihombe,District,MG52,Androy
MG52516,Ambovombe-Androy,District,MG52,Androy
MG52518,Bekily,District,MG52,Androy
MG53515,Taolagnaro,District,MG53,Anosy
MG53517,Betroka,District,MG53,Anosy
MG53519,Amboasary-Atsimo,District,MG53,Anosy
MG54502,Manja,District,MG54,Menabe
MG54508,Morondava,District,MG54,Menabe
MG54509,Mahabo,District,MG54,Menabe
MG54510,Belo Sur Tsiribihina,District,MG54,Menabe
MG54511,Miandrivazo,District,MG54,Menabe
MG71713,Antsiranana II,District,MG71,Diana
MG71715,Antsiranana I,District,MG71,Diana
MG71717,Ambilobe,District,MG71,Diana
MG71718,Nosy-Be,District,MG71,Diana
MG71719,Ambanja,District,MG71,Diana
MG72710,Antalaha,District,MG72,Sava
MG72711,Sambava,District,MG72,Sava
MG72712,Andapa,District,MG72,Sava
MG72716,Vohemar,District,MG72,Sava
MG11101001,1er Arrondissement,Commune,MG11101001A,1er Arrondissement
MG11101002,2e Arrondissement,Commune,MG11101002A,2e Arrondissement
MG11101003,3e Arrondissement,Commune,MG11101003A,3e Arrondissement
MG11101004,4e Arrondissement,Commune,MG11101004A,4e Arrondissement
MG11101005,5e Arrondissement,Commune,MG11101005A,5e Arrondissement
MG11101006,6e Arrondissement,Commune,MG11101006A,6e Arrondissement
MG11102010,Alasora,Commune,MG11102,Antananarivo Avaradrano
MG11102039,Ankadikely Ilafy,Commune,MG11102,Antananarivo Avaradrano
MG11102050,Ambohimanambola,Commune,MG11102,Antananarivo Avaradrano
MG11102079,Sabotsy Namehana,Commune,MG11102,Antananarivo Avaradrano
MG11102099,Ambohimangakely,Commune,MG11102,Antananarivo Avaradrano
MG11102210,Manandriana,Commune,MG11102,Antananarivo Avaradrano
MG11102230,Ambohimalaza Miray,Commune,MG11102,Antananarivo Avaradrano
MG11102279,Fiaferana,Commune,MG11102,Antananarivo Avaradrano
MG11102319,Ambohimanga Rova,Commune,MG11102,Antananarivo Avaradrano
MG11102350,Viliahazo,Commune,MG11102,Antananarivo Avaradrano
MG11102379,Talata Volonondry,Commune,MG11102,Antananarivo Avaradrano
MG11102390,Anjeva Gara,Commune,MG11102,Antananarivo Avaradrano
MG11102410,Masindray,Commune,MG11102,Antananarivo Avaradrano
MG11102430,Ankadinandriana,Commune,MG11102,Antananarivo Avaradrano
MG11103010,Ambohidratrimo,Commune,MG11103,Ambohidratrimo
