Adresse,Account,Inscrits
"67 Ha, Antananarivo, Analamanga, Madagascar",Particulier,7
A,Particulier,1
Adresse non renseignée,Particulier,2
"Alakamisy Fenoarivo, Antananarivo, Analamanga, Madagascar",Marchand,1
"Alakamisy Fenoarivo, Antananarivo, Analamanga, Madagascar",Particulier,3
"Alarobia, Antananarivo, Analamanga, Madagascar",Particulier,2
"Alasora, Antananarivo, Analamanga, Madagascar",Grande Entreprise,1
"Alasora, Antananarivo, Analamanga, Madagascar",Particulier,9
Ambalafary Gare,Particulier,1
"Ambalavao, Haute Matsiatra, Madagascar",Particulier,3
"Ambanidia, Antananarivo, Analamanga, Madagascar",Particulier,3
"Ambanilalana, Antananarivo, Analamanga, Madagascar",Marchand,1
"Ambanilalana, Itaosy, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ambanja, Diana, Madagascar",Particulier,1
"Ambano, Antsirabe, Vakinankaratra, Madagascar",Particulier,2
Ambaranjana,Particulier,1
Ambatatolampy,Particulier,1
"Ambato-Boeny, Boeny, Madagascar",Particulier,3
"Ambatobe, Antananarivo, Analamanga, Madagascar",Particulier,1
Ambatolampikely,Particulier,1
"Ambatolampy, Vakinankaratra, Madagascar",Particulier,3
"Ambatomainty, Melaky, Madagascar",Particulier,2
"Ambatomaro, Ampanotokana, Analamanga, Madagascar",Particulier,1
"Ambatomaro, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ambatondrazaka, Alaotra-Mangoro, Madagascar",Marchand,1
"Ambatondrazaka, Alaotra-Mangoro, Madagascar",Particulier,4
"Ambatoroka, Antananarivo, Analamanga, Madagascar",Particulier,4
"Ambatovinaky, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ambavahaditokana, Itaosy, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ambilobe, Diana, Madagascar",Grande Entreprise,1
"Ambilobe, Diana, Madagascar",Particulier,1
"Amboasary Sud, Anosy, Madagascar",Particulier,1
Amboavahy,Particulier,1
"Ambodihady, Antananarivo, Analamanga, Madagascar",Particulier,5
Ambodiriana,Particulier,1
"Amboditsiry, Antananarivo, Analamanga, Madagascar",Particulier,2
Ambodivoarabe,Particulier,1
"Ambohibao, Antananarivo, Analamanga, Madagascar",Particulier,2
Ambohibarikely,Marchand,1
Ambohibarikely,Particulier,1
Ambohibe Ikafy,Particulier,1
"Ambohidrabiby, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ambohidrapeto, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ambohidratrimo, Antananarivo, Analamanga, Madagascar",Particulier,10
"Ambohijanahary, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ambohijanaka, Antananarivo, Analamanga, Madagascar",Particulier,4
"Ambohimanambola, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ambohimanarina, Ambatolampy Tsimahafotsy, Analamanga, Madagascar",Particulier,1
"Ambohimanarina, Antananarivo, Analamanga, Madagascar",Particulier,9
"Ambohimanga Rova, Analamanga, Madagascar",Particulier,3
"Ambohimangakely, Antananarivo, Analamanga, Madagascar",Particulier,11
Ambohimirary,Particulier,2
"Ambohipo, Antananarivo, Analamanga, Madagascar",Particulier,14
"Ambohipotsy, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ambohitrarahaba, Antananarivo, Analamanga, Madagascar",Particulier,4
"Ambohitrimanjaka, Antananarivo, Analamanga, Madagascar",Particulier,5
"Ambohitrinimanga, Anosy Avaratra, Antananarivo, Analamanga, Madagascar",Marchand,1
"Ambohitrinimanga, Antananarivo, Analamanga, Madagascar",Particulier,2
Ambohitrombihavana,Particulier,1
Ambohitsoa,Particulier,1
Ambolikandriandrina,Particulier,1
"Ambolokandrina, Antananarivo, Analamanga, Madagascar",Particulier,4
"Ambondromamy, Ambato-Boeny, Boeny, Madagascar",Particulier,1
Ambondrona,Particulier,1
"Ambositra, Amoron'i Mania, Madagascar",Marchand,1
"Ambositra, Amoron'i Mania, Madagascar",Particulier,1
"Amoron'i Mania, Madagascar",Particulier,1
Ampagabe,Particulier,1
Ampamantanana,Particulier,1
"Ampanihy, Atsimo-Andrefana, Madagascar",Marchand,1
"Ampanotokana, Analamanga, Madagascar",Particulier,1
"Ampanotokana, Antananarivo, Analamanga, Madagascar",Particulier,1
"Amparafaravola, Alaotra-Mangoro, Madagascar",Particulier,3
"Ampasanimalo, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ampasapito, Antananarivo, Analamanga, Madagascar",Épicerie,1
Ampasika,Marchand,1
"Ampefiloha, Antananarivo, Analamanga, Madagascar",Marchand,2
"Ampefiloha, Antananarivo, Analamanga, Madagascar",Particulier,3
"Ampitatafika, Antananarivo, Analamanga, Madagascar",Particulier,12
"Analamahitsy, Antananarivo, Analamanga, Madagascar",Marchand,1
"Analamahitsy, Antananarivo, Analamanga, Madagascar",Particulier,7
"Analamanga, Madagascar",Particulier,7
"Anatihazo, Antananarivo, Analamanga, Madagascar",Particulier,2
Andakana,Particulier,1
"Andasibe, Moramanga, Alaotra-Mangoro, Madagascar",Particulier,1
"Andavamamba, Antananarivo, Analamanga, Madagascar",Marchand,1
"Andavamamba, Antananarivo, Analamanga, Madagascar",Particulier,8
"Andohanimandroseza, Antananarivo, Analamanga, Madagascar",Grande Entreprise,1
"Andohanimandroseza, Antananarivo, Analamanga, Madagascar",Particulier,5
"Andoharanofotsy, Antananarivo, Analamanga, Madagascar",Particulier,8
Andohariana,Particulier,1
"Andohatapenaka, Antananarivo, Analamanga, Madagascar",Particulier,3
Andrainarivo,Particulier,1
"Andraisoro, Antananarivo, Analamanga, Madagascar",Particulier,10
"Andranomanalina, Antananarivo, Analamanga, Madagascar",Particulier,1
"Andranomena, Antananarivo, Analamanga, Madagascar",Particulier,3
"Andravoahangy, Antananarivo, Analamanga, Madagascar",Grande Entreprise,1
"Andravoahangy, Antananarivo, Analamanga, Madagascar",Particulier,2
"Androhibe, Antananarivo, Analamanga, Madagascar",Particulier,1
Andrononobe,Particulier,2
"Anjanahary, Antananarivo, Analamanga, Madagascar",Particulier,5
"Anjomakely, Antananarivo, Analamanga, Madagascar",Particulier,1
Ankadiefajoro,Particulier,1
"Ankadifotsy, Antananarivo, Analamanga, Madagascar",Particulier,4
"Ankadikely Ilafy, Antananarivo, Analamanga, Madagascar",Particulier,3
"Ankadimbahoaka, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ankadindramamy, Antananarivo, Analamanga, Madagascar",Particulier,3
"Ankadindratombo, Antananarivo, Analamanga, Madagascar",Particulier,1
Ankaditany,Marchand,1
"Ankaraobato, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ankasina, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ankatso, Antananarivo, Analamanga, Madagascar",Marchand,1
"Ankatso, Antananarivo, Analamanga, Madagascar",Particulier,15
"Ankazobe, Analamanga, Madagascar",Particulier,3
"Ankazomanga, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ankazomiriotra, Vakinankaratra, Madagascar",Particulier,1
Ankazotokana,Particulier,1
"Ankerana, Antananarivo, Analamanga, Madagascar",Particulier,1
"Ankorondrano, Antananarivo, Analamanga, Madagascar",Particulier,3
"Anosibe An'Ala, Alaotra-Mangoro, Madagascar",Marchand,1
"Anosibe An'Ala, Alaotra-Mangoro, Madagascar",Particulier,1
"Anosibe, Antananarivo, Analamanga, Madagascar",Marchand,26
"Anosibe, Antananarivo, Analamanga, Madagascar",Particulier,29
"Anosimasina, Itaosy, Antananarivo, Analamanga, Madagascar",Particulier,1
"Anosipatrana, Antananarivo, Analamanga, Madagascar",Marchand,1
"Anosipatrana, Antananarivo, Analamanga, Madagascar",Particulier,4
"Anosizato Andrefana, Antananarivo, Analamanga, Madagascar",Particulier,1
"Anosizato Est, Antananarivo, Analamanga, Madagascar",Marchand,5
"Anosizato Est, Antananarivo, Analamanga, Madagascar",Particulier,1
"Anosizato, Antananarivo, Analamanga, Madagascar",Particulier,3
Anosy,Particulier,1
"Anosy Avaratra, Antananarivo, Analamanga, Madagascar",Particulier,2
"Antalaha, Sava, Madagascar",Particulier,3
"Antananarivo, Analamanga, Madagascar",Grande Entreprise,3
"Antananarivo, Analamanga, Madagascar",Marchand,4
"Antananarivo, Analamanga, Madagascar",Particulier,304
"Antananarivo, Analamanga, Madagascar",Épicerie,2
Antaniavo,Particulier,1
"Antanimalandy, Mahajanga, Boeny, Madagascar",Particulier,1
"Antanimbary, Maevatanana, Betsiboka, Madagascar",Particulier,1
"Antanimena, Antananarivo, Analamanga, Madagascar",Particulier,4
Antanimora,Marchand,1
"Antaninandro, Antananarivo, Analamanga, Madagascar",Particulier,1
Antanivao,Particulier,1
"Antehiroka, Antananarivo, Analamanga, Madagascar",Particulier,2
"Antetezanafovoany, Antananarivo, Analamanga, Madagascar",Particulier,1
"Antohomadinika, Antananarivo, Analamanga, Madagascar",Particulier,2
"Antsahamamy, Antananarivo, Analamanga, Madagascar",Particulier,2
Antsahameva,Particulier,1
"Antsakaviro, Antananarivo, Analamanga, Madagascar",Particulier,2
"Antsirabe, Vakinankaratra, Madagascar",Grande Entreprise,1
"Antsirabe, Vakinankaratra, Madagascar",Marchand,5
"Antsirabe, Vakinankaratra, Madagascar",Particulier,57
"Antsirabe, Vakinankaratra, Madagascar",Épicerie,1
"Antsiranana, Diana, Madagascar",Grande Entreprise,1
"Antsiranana, Diana, Madagascar",Marchand,2
"Antsiranana, Diana, Madagascar",Particulier,5
"Antsohihy, Sofia, Madagascar",Grande Entreprise,1
"Antsohihy, Sofia, Madagascar",Particulier,2
"Arivonimamo, Itasy, Madagascar",Particulier,5
"Arivonimamo, Itasy, Madagascar",Épicerie,1
"Avaradoha, Antananarivo, Analamanga, Madagascar",Particulier,3
"Befelatanana, Antananarivo, Analamanga, Madagascar",Particulier,1
"Behoririka, Antananarivo, Analamanga, Madagascar",Particulier,2
"Bekily, Androy, Madagascar",Particulier,1
"Belo-sur-Tsiribihina, Menabe, Madagascar",Grande Entreprise,1
"Belobaka, Mahajanga, Boeny, Madagascar",Particulier,1
"Bemasoandro, Antananarivo, Analamanga, Madagascar",Particulier,1
"Bemasoandro, Itaosy, Antananarivo, Analamanga, Madagascar",Particulier,1
"Besalampy, Melaky, Madagascar",Marchand,1
"Besarety, Antananarivo, Analamanga, Madagascar",Particulier,2
"Betafo, Vakinankaratra, Madagascar",Marchand,1
"Betafo, Vakinankaratra, Madagascar",Particulier,1
"Betioky, Atsimo-Andrefana, Madagascar",Marchand,1
"Betongolo, Antananarivo, Analamanga, Madagascar",Particulier,2
"Carion, Analamanga, Madagascar",Particulier,1
Catania,Particulier,1
F 259,Particulier,1
"Fandriana, Amoron'i Mania, Madagascar",Grande Entreprise,1
"Farafangana, Atsimo-Atsinanana, Madagascar",Particulier,4
"Farafangana, Atsimo-Atsinanana, Madagascar",Épicerie,1
"Faratsiho, Vakinankaratra, Madagascar",Particulier,1
"Faravohitra, Antananarivo, Analamanga, Madagascar",Particulier,1
"Fenoarivo Atsinanana, Analanjirofo, Madagascar",Épicerie,1
"Fenoarivo, Antananarivo, Analamanga, Madagascar",Particulier,3
"Fiadanana, Antananarivo, Analamanga, Madagascar",Particulier,2
"Fianarantsoa, Haute Matsiatra, Madagascar",Grande Entreprise,1
"Fianarantsoa, Haute Matsiatra, Madagascar",Marchand,2
"Fianarantsoa, Haute Matsiatra, Madagascar",Particulier,17
"Fianarantsoa, Haute Matsiatra, Madagascar",Épicerie,1
"Fieferana, Antananarivo, Analamanga, Madagascar",Particulier,1
France,Particulier,1
G 149,Particulier,1
"Ihosy, Ihorombe, Madagascar",Particulier,2
"Ilafy, Antananarivo, Analamanga, Madagascar",Marchand,1
"Ilafy, Antananarivo, Analamanga, Madagascar",Particulier,7
"Ilakaka, Ihosy, Ihorombe, Madagascar",Particulier,1
"Ilanivato, Antananarivo, Analamanga, Madagascar",Particulier,1
"Imerimandroso, Alaotra-Mangoro, Madagascar",Particulier,1
"Imerimanjaka, Antananarivo, Analamanga, Madagascar",Particulier,1
"Imerintsiatosika, Itasy, Madagascar",Particulier,1
"Itaosy, Antananarivo, Analamanga, Madagascar",Particulier,22
"Itasy, Madagascar",Particulier,1
"Ivandry, Antananarivo, Analamanga, Madagascar",Particulier,3
"Ivato Aéroport, Antananarivo, Analamanga, Madagascar",Particulier,2
"Ivato, Antananarivo, Analamanga, Madagascar",Particulier,7
"Ivohibe, Ihorombe, Madagascar",Épicerie,1
Ivolaniray,Particulier,1
"Ivory, Antsirabe, Vakinankaratra, Madagascar",Particulier,1
"Kandreho, Betsiboka, Madagascar",Épicerie,1
"Lazaina, Antananarivo, Analamanga, Madagascar",Particulier,1
Loharanombato,Particulier,1
Lot 0908D081,Particulier,1
"Maevatanana, Betsiboka, Madagascar",Particulier,1
Mahafaly Vatofotsy,Particulier,1
"Mahajanga, Boeny, Madagascar",Particulier,11
"Mahajanga, Boeny, Madagascar",Épicerie,1
"Mahamasina, Antananarivo, Analamanga, Madagascar",Particulier,7
"Mahanoro, Atsinanana, Madagascar",Grande Entreprise,1
"Mahavelona, Atsinanana, Madagascar",Particulier,1
Mahazina,Particulier,1
"Mahazoarivo, Antananarivo, Analamanga, Madagascar",Particulier,2
"Mahitsy, Analamanga, Madagascar",Particulier,3
"Mahitsy, Antananarivo, Analamanga, Madagascar",Particulier,2
"Maintirano, Melaky, Madagascar",Particulier,1
Malaho,Particulier,1
Malaho Bevalala,Particulier,1
"Manakambahiny, Ambatondrazaka, Alaotra-Mangoro, Madagascar",Particulier,1
"Manakara, Fitovinany, Madagascar",Particulier,3
"Manambondro, Vangaindrano, Atsimo-Atsinanana, Madagascar",Particulier,1
"Mananjary, Vatovavy, Madagascar",Marchand,1
"Manarintsoa, Antananarivo, Analamanga, Madagascar",Particulier,1
"Mandritsara, Sofia, Madagascar",Particulier,2
"Mandroseza, Antananarivo, Analamanga, Madagascar",Particulier,1
"Mangarivotra, Mahajanga, Boeny, Madagascar",Particulier,1
